i,j,P,Q,est
1,22,Z,X,-0.072
1,22,Z,Y,-0.009
1,22,Z,Z,1.035
1,23,X,X,-0.108
1,23,X,Y,-0.207
1,23,X,Z,0.009
1,23,Y,X,0.0
1,23,Y,Y,0.081
1,23,Y,Z,-0.207
1,23,Z,X,0.0
1,23,Z,Y,-0.027
1,23,Z,Z,1.089
1,24,X,X,0.117
1,24,X,Y,0.0
1,24,X,Z,0.063
1,24,Y,X,0.054
1,24,Y,Y,-0.153
1,24,Y,Z,-0.207
1,24,Z,X,0.009
1,24,Z,Y,-0.117
1,24,Z,Z,1.026
1,25,X,X,-0.018
1,25,X,Y,0.009
1,25,X,Z,0.099
1,25,Y,X,-0.045
1,25,Y,Y,0.036
1,25,Y,Z,-0.099
1,25,Z,X,0.036
1,25,Z,Y,-0.063
1,25,Z,Z,1.071
1,26,X,X,-0.063
1,26,X,Y,-0.252
1,26,X,Z,0.009
1,26,Y,X,0.135
1,26,Y,Y,-0.009
1,26,Y,Z,-0.126
1,26,Z,X,-0.153
1,26,Z,Y,-0.108
1,26,Z,Z,1.107
1,27,X,X,0.063
1,27,X,Y,0.135
1,27,X,Z,0.126
1,27,Y,X,-0.045
1,27,Y,Y,0.009
1,27,Y,Z,-0.09
1,27,Z,X,0.063
1,27,Z,Y,-0.135
1,27,Z,Z,1.152
1,28,X,X,-0.027
1,28,X,Y,0.108
1,28,X,Z,-0.027
1,28,Y,X,0.117
1,28,Y,Y,0.027
1,28,Y,Z,-0.018
1,28,Z,X,-0.081
1,28,Z,Y,-0.036
1,28,Z,Z,1.125
1,29,X,X,-0.018
1,29,X,Y,0.045
1,29,X,Z,0.099
1,29,Y,X,-0.045
1,29,Y,Y,0.054
1,29,Y,Z,-0.081
1,29,Z,X,0.045
1,29,Z,Y,-0.117
1,29,Z,Z,0.972
2,3,X,X,0.207
2,3,X,Y,-0.081
2,3,X,Z,0.018
2,3,Y,X,-0.126
2,3,Y,Y,-0.018
2,3,Y,Z,-0.072
2,3,Z,X,-0.063
2,3,Z,Y,-0.063
2,3,Z,Z,1.044
2,4,X,X,0.054
2,4,X,Y,0.009
2,4,X,Z,-0.009
2,4,Y,X,0.027
2,4,Y,Y,-0.144
2,4,Y,Z,-0.063
2,4,Z,X,0.09
2,4,Z,Y,-0.099
2,4,Z,Z,0.855
2,5,X,X,0.063
2,5,X,Y,0.252
2,5,X,Z,0.099
2,5,Y,X,-0.036
2,5,Y,Y,0.135
2,5,Y,Z,0.027
2,5,Z,X,-0.072
2,5,Z,Y,-0.045
2,5,Z,Z,1.053
2,6,X,X,-0.162
2,6,X,Y,0.126
2,6,X,Z,0.036
2,6,Y,X,0.009
2,6,Y,Y,0.171
2,6,Y,Z,-0.072
2,6,Z,X,-0.009
2,6,Z,Y,-0.009
2,6,Z,Z,1.008
2,7,X,X,0.027
2,7,X,Y,-0.153
2,7,X,Z,0.054
2,7,Y,X,0.054
2,7,Y,Y,0.036
2,7,Y,Z,0.018
2,7,Z,X,-0.099
2,7,Z,Y,-0.072
2,7,Z,Z,0.927
2,8,X,X,-0.009
2,8,X,Y,0.243
2,8,X,Z,-0.18
2,8,Y,X,-0.09
2,8,Y,Y,-0.009
2,8,Y,Z,-0.135
2,8,Z,X,0.045
2,8,Z,Y,-0.054
2,8,Z,Z,0.945
2,9,X,X,0.054
2,9,X,Y,-0.09
2,9,X,Z,-0.018
2,9,Y,X,0.018
2,9,Y,Y,0.216
2,9,Y,Z,-0.036
2,9,Z,X,-0.171
2,9,Z,Y,-0.072
2,9,Z,Z,0.873
2,10,X,X,0.018
2,10,X,Y,0.072
2,10,X,Z,-0.072
2,10,Y,X,0.117
2,10,Y,Y,0.027
2,10,Y,Z,-0.036
2,10,Z,X,0.171
2,10,Z,Y,-0.144
2,10,Z,Z,0.945
2,11,X,X,0.009
2,11,X,Y,0.036
2,11,X,Z,0.135
2,11,Y,X,-0.09
2,11,Y,Y,-0.018
2,11,Y,Z,-0.27
2,11,Z,X,0.0
2,11,Z,Y,-0.117
2,11,Z,Z,0.909
2,12,X,X,0.135
2,12,X,Y,0.045
2,12,X,Z,-0.054
2,12,Y,X,-0.117
2,12,Y,Y,-0.117
2,12,Y,Z,-0.036
2,12,Z,X,0.081
2,12,Z,Y,0.09
2,12,Z,Z,1.053
2,13,X,X,0.09
2,13,X,Y,-0.045
2,13,X,Z,0.063
2,13,Y,X,0.108
2,13,Y,Y,0.027
2,13,Y,Z,-0.081
2,13,Z,X,0.045
2,13,Z,Y,-0.09
2,13,Z,Z,0.927
2,14,X,X,-0.018
2,14,X,Y,0.135
2,14,X,Z,0.099
2,14,Y,X,0.081
2,14,Y,Y,0.135
2,14,Y,Z,0.108
2,14,Z,X,0.081
2,14,Z,Y,-0.036
2,14,Z,Z,1.017
2,15,X,X,0.297
2,15,X,Y,0.0
2,15,X,Z,-0.045
2,15,Y,X,-0.09
2,15,Y,Y,-0.162
2,15,Y,Z,0.036
2,15,Z,X,-0.072
2,15,Z,Y,-0.018
2,15,Z,Z,0.918
2,16,X,X,0.144
2,16,X,Y,-0.162
2,16,X,Z,-0.036
2,16,Y,X,-0.108
2,16,Y,Y,-0.009
2,16,Y,Z,-0.153
2,16,Z,X,0.162
2,16,Z,Y,-0.081
2,16,Z,Z,1.035
2,17,X,X,0.054
2,17,X,Y,0.063
2,17,X,Z,-0.063
2,17,Y,X,-0.081
2,17,Y,Y,-0.063
2,17,Y,Z,-0.036
2,17,Z,X,0.072
2,17,Z,Y,0.027
2,17,Z,Z,0.999
2,18,X,X,-0.243
2,18,X,Y,-0.18
2,18,X,Z,-0.153
2,18,Y,X,-0.045
2,18,Y,Y,0.216
2,18,Y,Z,-0.027
2,18,Z,X,0.018
2,18,Z,Y,-0.045
2,18,Z,Z,0.981
2,19,X,X,0.009
2,19,X,Y,0.018
2,19,X,Z,-0.009
2,19,Y,X,0.054
2,19,Y,Y,-0.072
2,19,Y,Z,-0.054
2,19,Z,X,0.126
2,19,Z,Y,-0.009
2,19,Z,Z,0.999
2,20,X,X,0.072
2,20,X,Y,-0.108
2,20,X,Z,-0.036
2,20,Y,X,0.099
2,20,Y,Y,0.09
2,20,Y,Z,0.009
2,20,Z,X,0.081
2,20,Z,Y,0.045
2,20,Z,Z,0.9
2,21,X,X,0.198
2,21,X,Y,-0.135
2,21,X,Z,-0.117
2,21,Y,X,-0.063
2,21,Y,Y,0.027
2,21,Y,Z,-0.144
2,21,Z,X,-0.126
2,21,Z,Y,0.054
2,21,Z,Z,0.954
2,22,X,X,0.036
2,22,X,Y,0.108
2,22,X,Z,-0.036
2,22,Y,X,-0.045
2,22,Y,Y,-0.279
2,22,Y,Z,-0.108
2,22,Z,X,-0.063
2,22,Z,Y,0.045
2,22,Z,Z,1.026
2,23,X,X,0.09
2,23,X,Y,0.162
2,23,X,Z,-0.162
2,23,Y,X,0.0
2,23,Y,Y,-0.018
2,23,Y,Z,-0.126
2,23,Z,X,-0.036
2,23,Z,Y,-0.009
2,23,Z,Z,0.873
2,24,X,X,-0.009
2,24,X,Y,0.117
2,24,X,Z,0.0
2,24,Y,X,-0.09
2,24,Y,Y,0.09
2,24,Y,Z,-0.126
2,24,Z,X,0.063
2,24,Z,Y,-0.189
2,24,Z,Z,1.044
2,25,X,X,0.036
2,25,X,Y,-0.045
2,25,X,Z,0.027
2,25,Y,X,-0.117
2,25,Y,Y,-0.054
2,25,Y,Z,-0.027
2,25,Z,X,0.09
2,25,Z,Y,-0.135
2,25,Z,Z,0.999
2,26,X,X,0.126
2,26,X,Y,-0.072
2,26,X,Z,-0.108
2,26,Y,X,-0.045
2,26,Y,Y,0.018
2,26,Y,Z,-0.081
2,26,Z,X,0.0
2,26,Z,Y,0.009
2,26,Z,Z,0.945
